iter	Passed	Remaining
930	44485	3296
931	44525	3248
932	44569	3200
933	44613	3152
934	44659	3104
935	44707	3056
936	44746	3008
937	44793	2960
938	44840	2912
939	44883	2864
940	44928	2816
941	44969	2768
942	45014	2720
943	45063	2673
944	45113	2625
945	45156	2577
946	45202	2529
947	45257	2482
948	45300	2434
949	45344	2386
950	45391	2338
951	45434	2290
952	45481	2243
953	45527	2195
954	45581	2147
955	45630	2100
956	45691	2052
957	45744	2005
958	45802	1958
959	45845	1910
960	45897	1862
961	45942	1814
962	45982	1766
963	46036	1719
964	46085	1671
965	46130	1623
966	46179	1575
967	46227	1528
968	46272	1480
969	46322	1432
970	46366	1384
971	46419	1337
972	46467	1289
973	46519	1241
974	46564	1193
975	46610	1146
976	46658	1098
977	46707	1050
978	46755	1002
979	46812	955
980	46858	907
981	46909	859
982	46964	812
983	47012	764
984	47056	716
985	47105	668
986	47161	621
987	47209	573
988	47250	525
989	47295	477
990	47342	429
991	47389	382
992	47436	334
993	47488	286
994	47533	238
995	47587	191
996	47634	143
997	47692	95
998	47736	47
999	47783	0
